spanish	english	pos	cefr	tags
perezosa	lazy		A2.2	
perfume	perfume		A2.2	
periodista	journalist		A2.2	
periódico	newspaper		A2.2	
permitir	to allow	verb	A2.2	
pescadora	fisher		A2.2	
pesimista	pessimistic		A2.2	
piloto	pilot		A2.2	
pintura	paint		A2.2	
plomero	plumber		A2.2	
pobreza	poverty		A2.2	
podrás	you will be able to		A2.2	
policía	police officer		A2.2	
política	politics, policy		A2.2	
ponerse de acuerdo	to agree, reach an agreement	phrase	A2.2	
por eso	therefore	connector	A2.2	
por lo menos	at least	phrase	A2.2	
por lo tanto	therefore	connector	A2.2	
posponer	to postpone	verb	A2.2	
presidenta	president		A2.2	
primera clase	first class	phrase	A2.2	
primera ministra	prime minister	phrase	A2.2	
producto	product		A2.2	
profesión	profession		A2.2	
programa en vivo	live program	phrase	A2.2	
programadora	programmer		A2.2	
prohibir	to prohibit	verb	A2.2	
propietaria	owner		A2.2	
préstamo	loan		A2.2	
psicóloga	psychologist		A2.2	
publicidad	advertising		A2.2	
pulsera	bracelet		A2.2	
quedarse con	to keep	phrase	A2.2	
queja	complaint		A2.2	
quiero que	I want that...	phrase	A2.2	
radar	radar		A2.2	
recepcionista	receptionist		A2.2	
receptor	receiver		A2.2	
receta médica	prescription	phrase	A2.2	
reclamación	claim		A2.2	
recomendar	to recommend	verb	A2.2	
reembolso	refund		A2.2	
reloj de pulsera	wristwatch	phrase	A2.2	
remitente	sender		A2.2	
renovar	to renew	verb	A2.2	
reparación	repair		A2.2	
responsable	responsible		A2.2	
revista	magazine		A2.2	
riqueza	wealth		A2.2	
romántica	romantic		A2.2	
rotonda	roundabout		A2.2	
ruptura	breakage		A2.2	
sabrá	he, she will know		A2.2	
salario	salary		A2.2	
salón de belleza	beauty salon	phrase	A2.2	
sangre	blood		A2.2	
se alquila	it is rented	phrase	A2.2	
se busca	one seeks, it is sought	phrase	A2.2	
se considera	one considers, it is considered	phrase	A2.2	
se dice	one says, it is said	phrase	A2.2	
se habla	one speaks, it is spoken	phrase	A2.2	
se necesita	one needs, it is needed	phrase	A2.2	
se permite	it is allowed	phrase	A2.2	
se prohíbe	it is forbidden	phrase	A2.2	
se recomienda	one recommends, it is recommended	phrase	A2.2	
se vende	it is sold	phrase	A2.2	
secador de pelo	hair dryer	phrase	A2.2	
secretaria	secretary		A2.2	
segura	confident		A2.2	
seguro de viaje	travel insurance	phrase	A2.2	
seguro médico	health insurance	phrase	A2.2	
sello	stamp		A2.2	
sensible	sensitive		A2.2	
seria	serious		A2.2	
serie	series		A2.2	
señal de tráfico	traffic sign	phrase	A2.2	
sin duda	without doubt	phrase	A2.2	
sin embargo	however	connector	A2.2	
sincera	sincere		A2.2	
sobre todo	above all, especially	phrase	A2.2	
sugerir	to suggest	verb	A2.2	
suscripción	subscription		A2.2	
tacaña	stingy		A2.2	
talla	size		A2.2	
tarjeta	card		A2.2	
tarjeta de crédito	credit card	phrase	A2.2	
tarjeta de débito	debit card	phrase	A2.2	
te compraría	I would buy you	phrase	A2.2	
telediario	news program		A2.2	
tendré	I will have		A2.2	
tener en cuenta	to take into account	phrase	A2.2	
tener razón	to be right	phrase	A2.2	
tener suerte	to be lucky	phrase	A2.2	
terror	horror		A2.2	
thriller	thriller		A2.2	
titular	headline		A2.2	
toalla	towel		A2.2	
tonta	silly, stupid	adv	A2.2	
tos	cough		A2.2	
trabajadora	hardworking		A2.2	
tradición	tradition		A2.2	
traductora	translator		A2.2	
tramitar	to process	verb	A2.2	
tranquila	calm		A2.2	
transbordo	transfer		A2.2	
transferencia	transfer		A2.2	
transmisor	transmitter		A2.2	
tráfico	traffic		A2.2	
turística	tour guide		A2.2	
tímida	shy		A2.2	
vacaciones pagadas	paid vacation	phrase	A2.2	
valiente	brave		A2.2	
vecindario	neighborhood		A2.2	
vendedora	salesperson		A2.2	
vendrá	he, she will come		A2.2	
vendría	he, she would come		A2.2	
ventanilla	window seat		A2.2	
veremos	we will see		A2.2	
viaje de negocios	business trip	phrase	A2.2	
vivirán	they will live		A2.2	
vómito	vomit		A2.2	
¡di!	say!		A2.2	
¡haz!	do!		A2.2	
¡no bebas!	don't drink!	phrase	A2.2	
¡no comas!	don't eat!	phrase	A2.2	
¡no digas!	don't say!	phrase	A2.2	
¡no hables!	don't speak!	phrase	A2.2	
¡no hagas!	don't do!	phrase	A2.2	
¡no salgas!	don't go out!	phrase	A2.2	
¡no vengas!	don't come!	phrase	A2.2	
¡pon!	put!		A2.2	
¡sal!	go out!		A2.2	
¡sé!	be!		A2.2	
¡ten!	have, take!		A2.2	
¡ve!	go!		A2.2	
¡ven!	come!		A2.2	
